term,ipa,method,confidence,needs_review,notes
CSS,/ˌsiː ɛs ˈɛs/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
desktop PC,/ˈdɛskˌtɑp ˌpiː ˈsiː/,multi,medium,yes,в составе есть аббревиатура
DSL,/ˌdiː ɛs ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
FTP,/ˌɛf tiː ˈpiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
GUI,/ˈɡuː.iː/,word-acronym,medium,yes,словесный акроним; вариант из таблицы — проверить локальный узус
HTML,/ˌeɪtʃ tiː ɛm ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
HTTP,/ˌeɪtʃ tiː tiː ˈpiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
IR (Instruction Register),/ˌaɪ ˈɑr/,abbrev,medium,yes,"отсечена скобочная расшифровка; проверить: может произноситься как слово, а не побуквенно"
IT director,/ˌaɪ ˈtiː dərˈɛktər/,multi,medium,yes,в составе есть аббревиатура
LAN,/ˌɛl eɪ ˈɛn/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
LCD,/ˌɛl siː ˈdiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
MAN,/ˌɛm eɪ ˈɛn/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
MFA,/ˌɛm ɛf ˈeɪ/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
multi-core CPU,/ˈmʌltiː ˈkɔr ˌsiː piː ˈjuː/,multi,medium,yes,в составе есть аббревиатура
Not AND Flash,/ˈnɑt ˌeɪ ɛn ˈdiː ˈflæʃ/,multi,medium,yes,в составе есть аббревиатура
Not OR Flash,/ˈnɑt ˌoʊ ˈɑr ˈflæʃ/,multi,medium,yes,в составе есть аббревиатура
Off-Page SEO,/ˈɔf ˈpeɪdʒ ˌɛs iː ˈoʊ/,multi,medium,yes,в составе есть аббревиатура
On-Page SEO,/ˈɑn ˈpeɪdʒ ˌɛs iː ˈoʊ/,multi,medium,yes,в составе есть аббревиатура
OOP,/ˌoʊ oʊ ˈpiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
OSI model,/ˌoʊ ɛs ˈaɪ ˈmɑdəl/,multi,medium,yes,в составе есть аббревиатура
PAN (Personal Area Network),/ˌpiː eɪ ˈɛn/,abbrev,medium,yes,"отсечена скобочная расшифровка; проверить: может произноситься как слово, а не побуквенно"
PC (Program Counter),/ˌpiː ˈsiː/,abbrev,medium,yes,"отсечена скобочная расшифровка; проверить: может произноситься как слово, а не побуквенно"
QA engineer,/ˌkjuː ˈeɪ ˈɛndʒəˈnɪr/,multi,medium,yes,в составе есть аббревиатура
RAM,/ˌɑr eɪ ˈɛm/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
real-time OS,/ˈriːl ˈtaɪm ˌoʊ ˈɛs/,multi,medium,yes,в составе есть аббревиатура
ROM (Read Only Memory),/ˌɑr oʊ ˈɛm/,abbrev,medium,yes,"отсечена скобочная расшифровка; проверить: может произноситься как слово, а не побуквенно"
SDSL,/ˌɛs diː ɛs ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
SEO,/ˌɛs iː ˈoʊ/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
SMT,/ˌɛs ɛm ˈtiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
SSD,/ˌɛs ɛs ˈdiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
SSL,/ˌɛs ɛs ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
TCP/IP,/ˌtiː siː ˈpiː ˌaɪ ˈpiː/,multi,medium,yes,в составе есть аббревиатура
UDP,/ˌjuː diː ˈpiː/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
URL,/ˌjuː ɑr ˈɛl/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
USB port,/ˌjuː ɛs ˈbiː ˈpɔrt/,multi,medium,yes,в составе есть аббревиатура
USB-flash drive / memory stick,/ˌjuː ɛs ˈbiː ˈflæʃ ˈdraɪv ˈmɛməriː ˈstɪk/,multi,medium,yes,в составе есть аббревиатура
Very High Bit Rate DSL,/ˈvɛriː ˈhaɪ ˈbɪt ˈreɪt ˌdiː ɛs ˈɛl/,multi,medium,yes,в составе есть аббревиатура
VR,/ˌviː ˈɑr/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
WLAN,/ˌˈdʌbəljuː ɛl eɪ ˈɛn/,abbrev,medium,yes,"проверить: может произноситься как слово, а не побуквенно"
WYSIWYG,/ˈwɪz.iː.wɪɡ/,word-acronym,medium,yes,словесный акроним; вариант из таблицы — проверить локальный узус
access control,/ˈækˌsɛs kəntˈroʊl/,multi,high,no,
access point,/ˈækˌsɛs ˈpɔɪnt/,multi,high,no,
access time (seek time),/ˈækˌsɛs ˈtaɪm/,multi,high,no,отсечена скобочная расшифровка
addition,/əˈdɪʃən/,cmudict,high,no,
algorithm,/ˈælɡərˌɪðəm/,cmudict,high,no,
American Standard Code for Information Interchange,/əˈmɛrəkən ˈstændərd ˈkoʊd ˈfɔr ˌɪnfərˈmeɪʃən ˌɪntərˈtʃeɪndʒ/,multi,high,no,
analog and digital signals,/ˈænəˌlɔɡ ənd ˈdɪdʒətəl ˈsɪɡnəlz/,multi,high,no,
application code,/ˌæpləˈkeɪʃən ˈkoʊd/,multi,high,no,
application/ app,/ˌæpləˈkeɪʃən ˈæp/,multi,high,no,
Arithmetic Logic Unit,/ˌɛrɪθˈmɛtɪk ˈlɑdʒɪk ˈjuːnət/,multi,high,no,
Artificial Intelligence,/ˌɑrtəˈfɪʃəl ɪnˈtɛlədʒəns/,multi,high,no,
Artificial Neural Network,/ˌɑrtəˈfɪʃəl ˈnʊrəl ˈnɛtˌwɜrk/,multi,high,no,
artificial neural network,/ˌɑrtəˈfɪʃəl ˈnʊrəl ˈnɛtˌwɜrk/,multi,high,no,
assembler,/əˈsɛmblər/,cmudict,high,no,
assembly languages,/əˈsɛmbliː ˈlæŋɡwədʒəz/,multi,high,no,
asynchronous transmission,/ˈeɪˈsɪŋkrənəs trænsˈmɪʃən/,multi,high,no,
Augmented Reality,/ɑɡˈmɛntəd riːˈælətiː/,multi,high,no,
augmented reality,/ɑɡˈmɛntəd riːˈælətiː/,multi,high,no,
automation,/ɔtəˈmeɪʃən/,cmudict,high,no,
backbone,/ˈbækˌboʊn/,cmudict,high,no,
backdoor,/ˈbækˌdɔr/,cmudict,high,no,
backend developer,/ˌbæˈkɛnd dɪˈvɛləpər/,multi,high,no,
backend development,/ˌbæˈkɛnd dɪˈvɛləpmənt/,multi,high,no,
backup,/ˈbæˌkʌp/,cmudict,high,no,
bandwidth,/ˈbændwɪdθ/,cmudict,high,no,
Basic Input/Output System,/ˈbeɪsɪk ˈɪnˌpʊt ˈaʊtˌpʊt ˈsɪstəm/,multi,high,no,
battery pack,/ˈbætəriː ˈpæk/,multi,high,no,
Beginner's All-purpose Symbolic Instruction Code,/bɪˈɡɪnərz ˈɔl ˈpɜrpəs sɪmˈbɑlɪk ɪnstˈrʌkʃən ˈkoʊd/,multi,high,no,
big data,/ˈbɪɡ ˈdeɪtə/,multi,high,no,
binary code,/ˈbaɪnəriː ˈkoʊd/,multi,high,no,
bridge,/ˈbrɪdʒ/,cmudict,high,no,
broadband access,/ˈbrɔdˌbænd ˈækˌsɛs/,multi,high,no,
broadband connection,/ˈbrɔdˌbænd kəˈnɛkʃən/,multi,high,no,
browser,/ˈbraʊzər/,cmudict,high,no,
brute force,/ˈbruːt ˈfɔrs/,multi,high,no,
bus,/ˈbʌs/,cmudict,high,no,
bus topology,/ˈbʌs təˈpɔlədʒiː/,multi,high,no,
bus width,/ˈbʌs ˈwɪdθ/,multi,high,no,
cache hit,/ˈkæʃ ˈhɪt/,multi,high,no,
cache line size,/ˈkæʃ ˈlaɪn ˈsaɪz/,multi,high,no,
cache miss,/ˈkæʃ ˈmɪs/,multi,high,no,
calculations,/ˌkælkjəˈleɪʃənz/,cmudict,high,no,
capacitor,/kəˈpæsətər/,cmudict,high,no,
Cascading Style Sheets,/kæsˈkeɪdɪŋ ˈstaɪl ˈʃiːts/,multi,high,no,
cellular connection,/ˈsɛljələr kəˈnɛkʃən/,multi,high,no,
Central Processing Unit,/ˈsɛntrəl ˈprɑsɛsɪŋ ˈjuːnət/,multi,high,no,
circuit board,/ˈsɜrkət ˈbɔrd/,multi,high,no,
circuit switching,/ˈsɜrkət ˈswɪtʃɪŋ/,multi,high,no,
class,/ˈklæs/,cmudict,high,no,
client-server architecture,/ˈklaɪənt ˈsɜrvər ˈɑrkəˌtɛktʃər/,multi,high,no,
clock speed,/ˈklɑk ˈspiːd/,multi,high,no,
cloud architect,/ˈklaʊd ˈɑrkəˌtɛkt/,multi,high,no,
cloud computing,/ˈklaʊd kəmpˈjuːtɪŋ/,multi,high,no,
coaxial cable,/ˈkoʊˈæksiːəl ˈkeɪbəl/,multi,high,no,
Command Line Interface,/kəˈmænd ˈlaɪn ˈɪntərˌfeɪs/,multi,high,no,
Compact Disc Read-Only Memory,/ˈkɑmpækt ˈdɪsk ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
Compact Disc Recordable,/ˈkɑmpækt ˈdɪsk rɪˈkɔrdəbəl/,multi,high,no,
compatible,/kəmˈpætəbəl/,cmudict,high,no,
compiler,/kəmˈpaɪlər/,cmudict,high,no,
Completely Automated Public Turing test to tell Computers and Humans Apart,/kəmpˈliːtliː ˈɔtəˌmeɪtɪd ˈpʌblɪk ˈtʊrɪŋ ˈtɛst ˈtuː ˈtɛl kəmpˈjuːtərz ənd ˈhjuːmənz əˈpɑrt/,multi,high,no,
Computer-Generated Image,/kəmpˈjuːtər ˈdʒɛnərˌeɪtəd ˈɪmədʒ/,multi,high,no,
consistent data,/kənˈsɪstənt ˈdeɪtə/,multi,high,no,
content management system,/ˈkɑntɛnt ˈmænədʒmənt ˈsɪstəm/,multi,high,no,
control unit,/kəntˈroʊl ˈjuːnət/,multi,high,no,
cooperative multitasking,/koʊˈɑpərˌeɪtɪv ˈmʌltiːˌtæskɪŋ/,multi,high,no,
copper cable,/ˈkɑpər ˈkeɪbəl/,multi,high,no,
copper twisted-pair cable,/ˈkɑpər ˈtwɪstəd ˈpɛr ˈkeɪbəl/,multi,high,no,
copyright violation,/ˈkɑpiːˌraɪt vaɪəˈleɪʃən/,multi,high,no,
crawling,/ˈkrɔlɪŋ/,cmudict,high,no,
data link layer,/ˈdeɪtə ˈlɪŋk ˈleɪər/,multi,high,no,
data scientist,/ˈdeɪtə ˈsaɪəntɪst/,multi,high,no,
data transmission,/ˈdeɪtə trænsˈmɪʃən/,multi,high,no,
database,/ˈdeɪtəˌbeɪs/,cmudict,high,no,
database administrator,/ˈdeɪtəˌbeɪs ədˈmɪnəstˌreɪtər/,multi,high,no,
debugging,/diːˈbʌɡɪŋ/,cmudict,high,no,
dedicated line,/ˈdɛdəkeɪtəd ˈlaɪn/,multi,high,no,
deep learning,/ˈdiːp ˈlɜrnɪŋ/,multi,high,no,
default settings,/dɪˈfɔlt ˈsɛtɪŋz/,multi,high,no,
delay/ latency,/dɪˈleɪ ˈleɪtənsiː/,multi,high,no,
Denial of Service,/dɪˈnaɪəl ˈʌv ˈsɜrvəs/,multi,high,no,
detachable keyboard,/dɪˈtætʃəbəl ˈkiːˌbɔrd/,multi,high,no,
dial-up access,/ˈdaɪəl ˈʌp ˈækˌsɛs/,multi,high,no,
dial-up connection,/ˈdaɪəl ˈʌp kəˈnɛkʃən/,multi,high,no,
differential backup,/ˌdɪfərˈɛnʃəl ˈbæˌkʌp/,multi,high,no,
digital signal,/ˈdɪdʒətəl ˈsɪɡnəl/,multi,high,no,
Digital Subscriber Line,/ˈdɪdʒətəl səbskˈraɪbər ˈlaɪn/,multi,high,no,
Digital Versatile Disc,/ˈdɪdʒətəl ˈvɜrsətəl ˈdɪsk/,multi,high,no,
directory,/dərˈɛktəriː/,cmudict,high,no,
distortion of a signal,/dɪsˈtɔrʃən ˈʌv ə ˈsɪɡnəl/,multi,high,no,
Distributed Denial of Service,/dɪstˈrɪbjətəd dɪˈnaɪəl ˈʌv ˈsɜrvəs/,multi,high,no,
division,/dɪˈvɪʒən/,cmudict,high,no,
Domain Name System,/doʊˈmeɪn ˈneɪm ˈsɪstəm/,multi,high,no,
download speed,/ˈdaʊnˌloʊd ˈspiːd/,multi,high,no,
Dynamic Random Access Memory,/daɪˈnæmɪk ˈrændəm ˈækˌsɛs ˈmɛməriː/,multi,high,no,
Electrically Erasable Programmable Read-Only Memory,/ɪˈlɛktrɪkəliː ɪˈreɪsəbəl ˈproʊɡˌræməbəl ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
Electronic Numerical Integrator and Computer,/ɪˌlɛktˈrɑnɪk nuːˈmɛrəkəl ˈɪntəɡˌreɪtər ənd kəmpˈjuːtər/,multi,high,no,
encryption,/ɛnkˈrɪpʃən/,cmudict,high,no,
energy consumption,/ˈɛnərdʒiː kənˈsʌmpʃən/,multi,high,no,
erasable,/ɪˈreɪsəbəl/,cmudict,high,no,
Erasable Programmable Read-Only Memory,/ɪˈreɪsəbəl ˈproʊɡˌræməbəl ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
expansion card,/ɪksˈpænʃən ˈkɑrd/,multi,high,no,
expansion slots,/ɪksˈpænʃən ˈslɑts/,multi,high,no,
external hard disk drive (HDD),/ɪksˈtɜrnəl ˈhɑrd ˈdɪsk ˈdraɪv/,multi,high,no,отсечена скобочная расшифровка
feature,/ˈfiːtʃər/,cmudict,high,no,
fiber-optic cable,/ˈfaɪbər ˈɑptɪk ˈkeɪbəl/,multi,high,no,
fiber-optic cables,/ˈfaɪbər ˈɑptɪk ˈkeɪbəlz/,multi,high,no,
File Transfer Protocol,/ˈfaɪl trænsˈfɜr ˈproʊtəˌkɑl/,multi,high,no,
firewall,/ˈfaɪrwɑl/,cmudict,high,no,
flash drive,/ˈflæʃ ˈdraɪv/,multi,high,no,
floating gate transistor,/ˈfloʊtɪŋ ˈɡeɪt trænˈzɪstər/,multi,high,no,
Floating Gate Transistors,/ˈfloʊtɪŋ ˈɡeɪt trænˈzɪstərz/,multi,high,no,
floppy disk,/ˈflɑpiː ˈdɪsk/,multi,high,no,
font,/ˈfɑnt/,cmudict,high,no,
footer,/ˈfʊtər/,cmudict,high,no,
FORmula TRANslator,/ˈfɔrmjələ trænsˈleɪtər/,multi,high,no,
freeware,/ˈfriːweɪr/,cmudict,high,no,
frequency,/ˈfriːkwənsiː/,cmudict,high,no,
front side bus,/ˈfrʌnt ˈsaɪd ˈbʌs/,multi,high,no,
full-stack developer,/ˈfʊl ˈstæk dɪˈvɛləpər/,multi,high,no,
fully connected neural networks,/ˈfʊliː kəˈnɛktəd ˈnʊrəl ˈnɛtˌwɜrks/,multi,high,no,
gateway,/ˈɡeɪtˌweɪ/,cmudict,high,no,
Gigabyte,/ˈɡɪɡəˌbaɪt/,cmudict,high,no,
Global System for Mobile Communications,/ˈɡloʊbəl ˈsɪstəm ˈfɔr ˈmoʊbəl kəmˌjuːnəˈkeɪʃənz/,multi,high,no,
Graphical User Interface,/ˈɡræfɪkəl ˈjuːzər ˈɪntərˌfeɪs/,multi,high,no,
Hard Disk Drive,/ˈhɑrd ˈdɪsk ˈdraɪv/,multi,high,no,
hardware,/ˈhɑrdˌwɛr/,cmudict,high,no,
head crash,/ˈhɛd ˈkræʃ/,multi,high,no,
header,/ˈhɛdər/,cmudict,high,no,
headphones,/ˈhɛdˌfoʊnz/,cmudict,high,no,
help-desk troubleshooter,/ˈhɛlp ˈdɛsk ˈtrʌbəlˌʃuːtər/,multi,high,no,
heuristic scanning,/hjʊˈrɪstɪk ˈskænɪŋ/,multi,high,no,
hidden units,/ˈhɪdən ˈjuːnəts/,multi,high,no,
high level language,/ˈhaɪ ˈlɛvəl ˈlæŋɡwədʒ/,multi,high,no,
high-level language,/ˈhaɪ ˈlɛvəl ˈlæŋɡwədʒ/,multi,high,no,
high-speed Internet connection,/ˈhaɪ ˈspiːd ˈɪntərˌnɛt kəˈnɛkʃən/,multi,high,no,
host-based firewall,/ˈhoʊst ˈbeɪst ˈfaɪrwɑl/,multi,high,no,
hot spot,/ˈhɑt ˈspɑt/,multi,high,no,
hub,/ˈhʌb/,cmudict,high,no,
human-powered directory,/ˈhjuːmən ˈpaʊərd dərˈɛktəriː/,multi,high,no,
Hyper Text Markup Language,/ˈhaɪpər ˈtɛkst ˈmɑrˌkʌp ˈlæŋɡwədʒ/,multi,high,no,
Hyper Text Transfer Protocol,/ˈhaɪpər ˈtɛkst trænsˈfɜr ˈproʊtəˌkɑl/,multi,high,no,
hyperlink,/ˈhaɪpərlɪŋk/,cmudict,high,no,
hyperlinks,/ˈhaɪpərlɪŋks/,cmudict,high,no,
incremental backup,/ˌɪnkrəˈmɛntəl ˈbæˌkʌp/,multi,high,no,
indent,/ɪnˈdɛnt/,cmudict,high,no,
indexing,/ˈɪndɛksɪŋ/,cmudict,high,no,
inheritance,/ɪnˈhɛrətəns/,cmudict,high,no,
input/ output device,/ˈɪnˌpʊt ˈaʊtˌpʊt dɪˈvaɪs/,multi,high,no,
Instruction Register,/ɪnstˈrʌkʃən ˈrɛdʒɪstər/,multi,high,no,
integrated circuits,/ˈɪntəɡˌreɪtəd ˈsɜrkəts/,multi,high,no,
Integrated Services Digital Network,/ˈɪntəɡˌreɪtəd ˈsɜrvəsəz ˈdɪdʒətəl ˈnɛtˌwɜrk/,multi,high,no,
interconnected nodes,/ˌɪntərkəˈnɛktɪd ˈnoʊdz/,multi,high,no,
internal/external storage device,/ɪnˈtɜrnəl ɪksˈtɜrnəl ˈstɔrədʒ dɪˈvaɪs/,multi,high,no,
International Business Machines,/ˌɪntərˈnæʃənəl ˈbɪznəs məˈʃiːnz/,multi,high,no,
Internet access,/ˈɪntərˌnɛt ˈækˌsɛs/,multi,high,no,
Internet Corporation for Assigned Names and Numbers,/ˈɪntərˌnɛt ˌkɔrpərˈeɪʃən ˈfɔr əˈsaɪnd ˈneɪmz ənd ˈnʌmbərz/,multi,high,no,
Internet of Things,/ˈɪntərˌnɛt ˈʌv ˈθɪŋz/,multi,high,no,
Internet Service Provider,/ˈɪntərˌnɛt ˈsɜrvəs prəˈvaɪdər/,multi,high,no,
interpreter,/ɪnˈtɜrprətər/,cmudict,high,no,
Java Virtual Machine,/ˈdʒɑvə ˈvɜrtʃuːəl məˈʃiːn/,multi,high,no,
JavaScript,/ˈdʒɑvəskˌrɪpt/,cmudict,high,no,
jump command,/ˈdʒʌmp kəˈmænd/,multi,high,no,
kernel,/ˈkɜrnəl/,cmudict,high,no,
key features,/ˈkiː ˈfiːtʃərz/,multi,high,no,
keywords,/ˈkiːˌwɜrdz/,cmudict,high,no,
Kilobyte,/ˈkɪloʊˌbaɪt/,cmudict,high,no,
laptop,/ˈlæpˌtɑp/,cmudict,high,no,
laser beam,/ˈleɪzər ˈbiːm/,multi,high,no,
layout,/ˈleɪˌaʊt/,cmudict,high,no,
line spacing,/ˈlaɪn ˈspeɪsɪŋ/,multi,high,no,
Liquid Crystal Display,/ˈlɪkwəd ˈkrɪstəl dɪspˈleɪ/,multi,high,no,
Local Area Network,/ˈloʊkəl ˈɛriːə ˈnɛtˌwɜrk/,multi,high,no,
low-level language,/ˈloʊ ˈlɛvəl ˈlæŋɡwədʒ/,multi,high,no,
machine code,/məˈʃiːn ˈkoʊd/,multi,high,no,
Machine Learning,/məˈʃiːn ˈlɜrnɪŋ/,multi,high,no,
machine learning,/məˈʃiːn ˈlɜrnɪŋ/,multi,high,no,
magnetic tape,/mæɡˈnɛtɪk ˈteɪp/,multi,high,no,
mainframe,/ˈmeɪnfˌreɪm/,cmudict,high,no,
make a backup,/ˈmeɪk ə ˈbæˌkʌp/,multi,high,no,
margins,/ˈmɑrdʒənz/,cmudict,high,no,
markup tags,/ˈmɑrˌkʌp ˈtæɡz/,multi,high,no,
Masked Read-Only Memory,/ˈmæskt ˈrɛd ˈoʊnliː ˈmɛməriː/,multi,high,no,
Media Access Control address,/ˈmiːdiːə ˈækˌsɛs kəntˈroʊl ˈædˌrɛs/,multi,high,no,
memory allocation,/ˈmɛməriː ˌæləˈkeɪʃən/,multi,high,no,
memory capacity,/ˈmɛməriː kəˈpæsətiː/,multi,high,no,
memory card,/ˈmɛməriː ˈkɑrd/,multi,high,no,
mesh topology,/ˈmɛʃ təˈpɔlədʒiː/,multi,high,no,
